 Libcell,Min_delay,Avg_delay,Max_delay
 INV_X2N_A9PP84TL_C14 ,0.009,0.010666666666666666,0.013
 NAND4_X3R_A9PP84TSL_C16 ,0.019,0.019,0.019
 SDFFXRPQ_X3N_A9PP84TL_C14 ,0.025,0.06666666666666667,0.089
 MXT2_X2N_A9PP84TSL_C16 ,0.024,0.024,0.024
 SDFFXSQ_X4N_A9PP84TSL_C14 ,0.038,0.0485,0.059
 SDFFRPQH_X2N_A9PP84TR_C14 ,0.048,0.048,0.048
 INV_X2N_A9PP84TR_C16 ,0.009,0.021846153846153845,0.034
 PREICG_X1R_A9PP84TL_C14 ,0.015,0.015523064250411866,0.021
 INV_X7F_A9PP84TSL_C14 ,0.006,0.010438356164383569,0.016
 AO21_X1N_A9PP84TSL_C16 ,0.031,0.031,0.031
 SDFFXRPQ_X3N_A9PP84TR_C16 ,0.029,0.05983333333333332,0.079
 NOR2_X1P5N_A9PP84TL_C16 ,0.115,0.11500000000000002,0.115
 NAND4_X1N_A9PP84TSL_C14 ,0.024,0.024,0.024
 NAND4_X2R_A9PP84TR_C16 ,0.019,0.019,0.019
 AO1B2_X1N_A9PP84TSL_C16 ,0.026,0.026,0.026
 INV_X10F_A9PP84TR_C14 ,0.006,0.008222222222222221,0.016
 NAND3_X6R_A9PP84TR_C14 ,0.014,0.020333333333333346,0.030
 PREICG_X2N_A9PP84TL_C16 ,0.028,0.04832911392405061,0.083
 SDFFRPQH_X2N_A9PP84TL_C14 ,0.039,0.039,0.039
 AOI22_X6N_A9PP84TR_C14 ,0.014,0.014000000000000004,0.014
 INV_X2N_A9PP84TL_C16 ,0.008,0.015965517241379314,0.054
 NOR2_X1R_A9PP84TSL_C14 ,0.007,0.009600000000000001,0.015
 AOI211_X2N_A9PP84TSL_C14 ,0.010,0.014190476190476194,0.019
 SDFFXRPQ_X3N_A9PP84TL_C16 ,0.024,0.04700000000000001,0.093
 OR2_X1N_A9PP84TR_C16 ,0.015,0.022129629629629628,0.059
 NAND2_X6F_A9PP84TSL_C14 ,0.016,0.017,0.018
 NAND2_X2F_A9PP84TL_C14 ,0.011,0.011500000000000019,0.012
 NAND3_X2R_A9PP84TSL_C14 ,0.009,0.009,0.009
 INV_X10F_A9PP84TL_C14 ,0.004,0.004,0.004
 NAND3_X6R_A9PP84TL_C14 ,0.012,0.012,0.012
 SDFFXSQ_X4N_A9PP84TSL_C16 ,0.026,0.027207920792079184,0.060
 XOR2_X2N_A9PP84TSL_C14 ,0.021,0.021,0.021
 SDFFYRPQ2D_X2N_A9PP84TL_C16 ,0.030,0.0343888888888889,0.043
 PREICG_X1R_A9PP84TL_C16 ,0.018,0.06533333333333334,0.082
 AO211_X2N_A9PP84TSL_C14 ,0.020,0.026410256410256423,0.032
 INV_X14F_A9PP84TSL_C14 ,0.006,0.010959798994974807,0.015
 INV_X24N_DCAP32_A9PP84TL_C14 ,0.002,0.008607118851505365,0.020
 SDFFRPQH_X2N_A9PP84TL_C16 ,0.040,0.04,0.040
 NOR2_X1R_A9PP84TSL_C16 ,0.008,0.008000000000000002,0.008
 BUFH_X1N_A9PP84TR_C14 ,0.010,0.016750000000000004,0.031
 NAND2_X6F_A9PP84TSL_C16 ,0.010,0.01,0.010
 BUF_X3N_A9PP84TR_C14 ,0.018,0.018,0.018
 INV_X10F_A9PP84TL_C16 ,0.006,0.006,0.006
 AOI22_X4R_A9PP84TSL_C14 ,0.011,0.0118,0.013
 XNOR2_X4TN_A9PP84TR_C16 ,0.015,0.015,0.015
 INV_X2R_A9PP84TSL_C14 ,0.005,0.008400000000000006,0.012
 BUFH_X1N_A9PP84TL_C14 ,0.008,0.013272727272727276,0.022
 BUFH_X1N_A9PP84TR_C16 ,0.009,0.025361581920903903,0.070
